ID,LocationName,BuildingNumber,StreetAddress,Locality,Region,Postcode,CountryCode,UserID,IsNextOfKin,IsPrimary
1001,Qingdao University,1,5 Almo Parkway,Jiulong,,YX03F,CN,1,1,1
1002,Yelets State University,86,0402 Magdeline Center,Kharabali,,TS11A,RU,2,1,1
1003,Lorestan University of Medical Sciences,5999,5 Glacier Hill Avenue,Sepīdān,,RQ63Z,IR,3,1,1
1004,Chongqing University of Technology,3002,4904 Hanson Hill,Luoping,,BI76Z,CN,4,1,1
1005,Emeishan Buddhist College,72,6418 Dennis Street,Xinhe,,DR24Q,CN,5,1,1
1006,Universidad Fidélitas,407,36 Ramsey Lane,West Island,,HJ24D,CC,6,1,1
1007,Ningxia Medical College,58000,0 Esker Road,Jiufeng,,AL58D,CN,7,1,1
1008,Al al-Bayt University,10,4593 Dawn Plaza,Safi,,TS51K,JO,8,1,1
1009,"American University of the Caribbean, School of Medicine",469,90 Alpine Street,San Pedro,,EL35K,BZ,9,1,1
1010,Göteborg University,7,52 Pepper Wood Avenue,Kungälv,Västra Götaland,HG07X,SE,10,1,1
1011,Belgorod State Agricultural Academy,66,9035 Vidon Way,Ilovlya,,WX72Q,RU,11,1,1
1012,Tbilisi State University,40891,14243 Kinsman Court,Gudauta,,VW10L,GE,12,1,1
1013,Saratov State Academy of Law,61811,968 Kennedy Trail,Tyret’ Pervaya,,CS71G,RU,13,1,1
1014,"St. Petersburg State University of Information Technologies, Mechanics and Optics",390,11296 Sage Way,Proletarskiy,,KV51W,RU,14,1,1
1015,Polytechnic Institute of Turin,23226,2 Ryan Drive,Padova,Veneto,JL01O,IT,15,1,1
1016,University of Technology,45,1 Maryland Avenue,Chamouny,,LH83G,MU,16,1,1
1017,Universidade Estadual de Montes Claros,99,41793 Ridge Oak Center,Barreiras,,SK53Z,BR,17,1,1
1018,Moscow State University of Forestry Engineering,71,12163 Monica Lane,Uchkeken,,NQ58K,RU,18,1,1
1019,Tuva State University,86645,3 Kedzie Lane,Novogurovskiy,,PL06H,RU,19,1,1
1020,Herat University,32,47 Tennessee Park,Khōst,,MU40H,AF,20,1,1
1021,Universidad Los Angeles de Chimbote,76,3 Marcy Hill,Sinchao,,MZ99J,PE,21,1,1
