UserID,IsNextOfKin,IsPrimary,Mobile,Landline,Email
1,False,True,283-590-9967,381-434-7072,mhenriksson0@twitpic.com
1,False,False,104-372-2972,611-826-7599,istephens1@yolasite.com
2,False,True,857-286-6459,800-220-0093,hgilhouley2@stumbleupon.com
2,False,False,115-191-8222,419-446-1791,kcowin3@eventbrite.com
3,False,True,440-387-3648,640-677-1198,rtearny4@ifeng.com
3,False,False,286-866-2580,750-836-1672,pkarpol5@lulu.com
4,False,True,491-236-4761,372-719-7864,reglington6@pen.io
4,False,False,897-805-2191,162-648-7757,ccrowcher7@tuttocitta.it
5,False,True,522-729-0518,171-614-9092,fregan8@opera.com
5,False,False,504-618-1237,276-672-9903,ascandrett9@tamu.edu
6,False,True,465-206-0584,123-217-6319,pwiddecombea@smh.com.au
6,False,False,920-205-4133,913-995-5029,rbellinb@soup.io
7,False,True,470-514-3639,783-332-8963,ustrangewayc@virginia.edu
7,False,False,434-212-2172,575-776-1724,kagated@toplist.cz
8,False,True,752-422-7690,309-389-6776,ehowline@ustream.tv
8,False,False,194-415-7531,660-145-4807,gduinkerkf@mediafire.com
9,False,True,637-285-9838,242-923-2841,gkohterg@google.ru
9,False,False,726-399-9619,781-180-4933,hmccardleh@examiner.com
10,False,True,690-629-8238,354-222-8474,kphilimorei@edublogs.org
10,False,False,839-268-9901,848-719-0233,tkeaysj@mail.ru
11,False,True,582-720-8254,351-226-1636,hspatigk@prnewswire.com
11,False,False,209-381-3089,858-224-6987,lvlasinl@dyndns.org
12,False,True,447-709-2723,694-855-5316,ltremethackm@a8.net
12,False,False,728-783-6476,873-195-9590,scoonn@altervista.org
13,False,True,252-634-3501,820-233-8193,cridgwayo@netlog.com
13,False,False,962-987-3423,631-269-4095,bgainsburghp@github.com
14,False,True,242-813-4869,978-352-1150,ajeanetq@youtube.com
14,False,False,747-834-9948,404-238-5614,ehorrodr@whitehouse.gov
15,False,True,820-597-1326,882-648-7491,fdantonios@phpbb.com
15,False,False,758-201-5577,291-324-9745,gfaierst@boston.com
16,False,True,245-405-6785,542-155-2372,wolfordu@ifeng.com
16,False,False,104-121-5130,848-842-4486,mganforthv@noaa.gov
17,False,True,926-905-1538,142-395-6061,lrivallandw@angelfire.com
17,False,False,213-255-4138,866-480-2349,egianolox@patch.com
18,False,True,486-791-1236,349-461-8542,jpohlsy@yellowbook.com
18,False,False,860-557-2077,136-957-3300,atommaseoz@xinhuanet.com
19,False,True,640-584-0743,964-527-6479,lcreffield10@mozilla.com
19,False,False,236-991-7325,142-589-2532,dlardez11@nsw.gov.au
20,False,True,410-160-0830,576-663-1236,hmcclements12@webs.com
20,False,False,501-511-5975,647-766-3970,lmannock13@webeden.co.uk
21,False,True,689-574-6435,937-440-2816,pchurchward14@ovh.net
21,False,False,496-987-9255,236-212-4842,cloch15@cpanel.net
22,False,True,342-152-8336,985-576-2033,aalderwick16@narod.ru
22,False,False,329-589-8999,644-627-9442,bcoldicott17@ox.ac.uk
23,False,True,508-569-4651,282-480-5110,lpardi18@utexas.edu
23,False,False,957-285-2183,225-670-5880,jkoop19@bbc.co.uk
24,False,True,676-754-4770,250-692-5798,bmerigot1a@sina.com.cn
24,False,False,214-825-6298,472-216-8594,aoliphand1b@google.com
25,False,True,267-842-4183,335-572-9602,tbubeer1c@answers.com
25,False,False,883-815-8235,364-192-7496,afalk1d@mtv.com
26,False,True,366-121-9841,280-340-3397,bwrought1e@mediafire.com
26,False,False,868-108-4580,193-570-2841,zdemattei1f@cbslocal.com
27,False,True,132-668-1725,791-406-7235,rolexa1g@hao123.com
27,False,False,362-866-4994,383-986-6686,racheson1h@merriam-webster.com
28,False,True,594-572-1806,369-777-5155,lnoriega1i@craigslist.org
28,False,False,279-697-2216,780-914-2340,idroghan1j@fda.gov
29,False,True,651-968-7718,725-402-9388,irenfree1k@mozilla.org
29,False,False,792-396-2163,936-992-6637,izanicchelli1l@fotki.com
30,False,True,344-348-2878,251-665-9236,bberg1m@nih.gov
30,False,False,727-182-6345,979-982-9118,nokeeffe1n@chicagotribune.com
31,False,True,941-152-7881,568-738-1669,etampling1o@sciencedirect.com
31,False,False,775-347-8132,696-387-9553,mquinnelly1p@zimbio.com
